Data,Vendas de Sorvete,Temperatura (°C)
2025-01-01,79,25.5
2025-01-02,205,37.0
2025-01-03,138,32.6
2025-01-04,151,30.0
2025-01-05,139,21.1
2025-01-06,84,21.1
2025-01-07,89,19.2
2025-01-08,212,35.3
2025-01-09,117,30.0
2025-01-10,106,32.2
2025-01-11,76,18.4
2025-01-12,136,37.4
2025-01-13,232,34.6
2025-01-14,138,22.2
2025-01-15,119,21.6
2025-01-16,140,21.7
2025-01-17,149,24.1
2025-01-18,106,28.5
2025-01-19,174,26.6
2025-01-20,122,23.8
2025-01-21,188,30.2
2025-01-22,136,20.8
2025-01-23,101,23.8
2025-01-24,87,25.3
2025-01-25,106,27.1
2025-01-26,158,33.7
2025-01-27,137,22.0
2025-01-28,182,28.3
2025-01-29,90,29.8
2025-01-30,95,18.9
2025-01-31,141,30.2
2025-02-01,83,21.4
2025-02-02,67,19.3
2025-02-03,160,37.0
2025-02-04,252,37.3
2025-02-05,146,34.2
2025-02-06,122,24.1
2025-02-07,116,20.0
2025-02-08,141,31.7
2025-02-09,184,26.8
2025-02-10,139,20.4
2025-02-11,111,27.9
2025-02-12,93,18.7
2025-02-13,152,36.2
2025-02-14,96,23.2
2025-02-15,98,31.3
2025-02-16,131,24.2
2025-02-17,142,28.4
2025-02-18,92,28.9
2025-02-19,89,21.7
2025-02-20,248,37.4
2025-02-21,132,33.5
2025-02-22,131,36.8
2025-02-23,177,35.9
2025-02-24,208,30.0
2025-02-25,144,36.4
2025-02-26,112,19.8
2025-02-27,132,21.9
2025-02-28,74,18.9
2025-03-01,144,24.5
2025-03-02,115,25.8
2025-03-03,129,23.4
2025-03-04,191,34.6
2025-03-05,129,25.1
2025-03-06,79,23.6
2025-03-07,183,28.9
2025-03-08,89,20.8
2025-03-09,127,34.0
2025-03-10,61,19.5
2025-03-11,202,37.7
2025-03-12,190,33.4
2025-03-13,67,22.0
2025-03-14,91,18.1
2025-03-15,133,34.3
2025-03-16,179,32.1
2025-03-17,120,32.6
2025-03-18,192,33.4
2025-03-19,88,19.5
2025-03-20,170,25.2
2025-03-21,72,20.3
2025-03-22,154,35.3
2025-03-23,105,30.5
2025-03-24,164,24.6
2025-03-25,125,19.3
2025-03-26,97,24.2
2025-03-27,138,24.5
2025-03-28,204,32.6
2025-03-29,160,30.8
2025-03-30,182,35.7
2025-03-31,108,27.4
2025-04-01,68,20.4
2025-04-02,212,32.3
2025-04-03,219,33.2
2025-04-04,161,29.2
2025-04-05,145,33.4
2025-04-06,122,27.9
2025-04-07,168,28.5
2025-04-08,175,26.6
2025-04-09,121,18.5
2025-04-10,123,20.2
